fecha,moneda,pais,compra_bs,venta_bs,fuente,origen_fecha
2025-01-15,DOP,Republica Dominicana,0.87898905,0.88119203,2_1_2a25_smc.xls,fecha_valor
2025-01-15,EUR,Zona Euro,55.28860153,55.42716946,2_1_2a25_smc.xls,fecha_valor
2025-01-15,INR,India,0.62233989,0.62389964,2_1_2a25_smc.xls,fecha_valor
2025-01-15,JPY,Japon,0.34108892,0.34194378,2_1_2a25_smc.xls,fecha_valor
2025-01-15,MXP,Mexico,2.6199248,2.62649103,2_1_2a25_smc.xls,fecha_valor
2025-01-15,NIO,Nicaragua,1.48050643,1.48421698,2_1_2a25_smc.xls,fecha_valor
2025-01-15,PEN,Perú,14.23716297,14.27284508,2_1_2a25_smc.xls,fecha_valor
2025-01-15,RUB,Rusia,0.52424317,0.52555707,2_1_2a25_smc.xls,fecha_valor
2025-01-15,TRY,Turquia,1.51704021,1.52084231,2_1_2a25_smc.xls,fecha_valor
2025-01-15,TTD,Trinidad y Tobago,7.97435513,7.99434099,2_1_2a25_smc.xls,fecha_valor
2025-01-15,USD,E.U.A.,53.8292895,53.9642,2_1_2a25_smc.xls,fecha_valor
2025-01-15,UYU,Uruguay,1.22120033,1.22426098,2_1_2a25_smc.xls,fecha_valor
2025-01-16,ANG,Curazao,30.3829,30.45904761,2_1_2a25_smc.xls,fecha_valor
2025-01-16,ARS,Argentina,0.05212251,0.05225314,2_1_2a25_smc.xls,fecha_valor
2025-01-16,BOB,Bolivia,7.90575459,7.92556851,2_1_2a25_smc.xls,fecha_valor
2025-01-16,BRL,Brasil,8.97890374,9.00140726,2_1_2a25_smc.xls,fecha_valor
2025-01-16,CAD,Canada,37.82816004,37.92296746,2_1_2a25_smc.xls,fecha_valor
2025-01-16,CLP,Chile,0.05411712,0.05425275,2_1_2a25_smc.xls,fecha_valor
2025-01-16,CNY,China,7.39924095,7.41778541,2_1_2a25_smc.xls,fecha_valor
2025-01-16,COP,Colombia,0.01265215,0.01268386,2_1_2a25_smc.xls,fecha_valor
2025-01-16,CUC,Cuba,54.2334765,54.3694,2_1_2a25_smc.xls,fecha_valor
2025-01-16,DOP,Republica Dominicana,0.88747302,0.88969726,2_1_2a25_smc.xls,fecha_valor
2025-01-16,EUR,Zona Euro,55.9667784,56.10704602,2_1_2a25_smc.xls,fecha_valor
2025-01-16,INR,India,0.62867001,0.63024563,2_1_2a25_smc.xls,fecha_valor
2025-01-16,JPY,Japon,0.34709869,0.34796861,2_1_2a25_smc.xls,fecha_valor
2025-01-16,MXP,Mexico,2.64619376,2.65282582,2_1_2a25_smc.xls,fecha_valor
2025-01-16,NIO,Nicaragua,1.49357433,1.49731763,2_1_2a25_smc.xls,fecha_valor
2025-01-16,PEN,Perú,14.68031196,14.71710472,2_1_2a25_smc.xls,fecha_valor
2025-01-16,RUB,Rusia,0.52805972,0.52938318,2_1_2a25_smc.xls,fecha_valor
